,movie_id,genre
55,55,Slasher Horror
55,55,Teen Horror
55,55,Crime
55,55,Drama
55,55,Horror
55,55,Thriller
56,56,Parody
56,56,Raunchy Comedy
56,56,Slapstick
56,56,Stoner Comedy
56,56,Teen Comedy
56,56,Comedy
57,57,Action Epic
57,57,Globetrotting Adventure
57,57,Spy
57,57,Action
57,57,Adventure
57,57,Drama
57,57,Thriller
58,58,Coming-of-Age
58,58,Psychological Drama
58,58,Drama
58,58,Romance
59,59,Dark Comedy
59,59,Military Documentary
59,59,Political Documentary
59,59,Documentary
59,59,Drama
59,59,War
60,60,Steamy Romance
60,60,Tragedy
60,60,Drama
60,60,Romance
61,61,Adventure Epic
61,61,Dark Comedy
61,61,Desert Adventure
61,61,Epic
61,61,Period Drama
61,61,Quest
61,61,Spaghetti Western
61,61,Western Epic
61,61,Adventure
61,61,Drama
62,62,One-Person Army Action
62,62,Spaghetti Western
62,62,Drama
62,62,Western
63,63,Dark Comedy
63,63,Drama
63,63,Fantasy
64,64,Satire
64,64,Comedy
64,64,Drama
65,65,Film Noir
65,65,Crime
65,65,Drama
65,65,Mystery
65,65,Sci-Fi
65,65,Thriller
66,66,Period Drama
66,66,Teen Drama
66,66,Tragedy
66,66,Drama
67,67,Farce
67,67,Period Drama
67,67,Comedy
67,67,Drama
67,67,History
68,68,Epic
68,68,Historical Epic
68,68,Drama
68,68,History
69,69,Period Drama
69,69,Romantic Epic
69,69,Comedy
69,69,Drama
69,69,Fantasy
69,69,History
69,69,Romance
70,70,Action Epic
70,70,Adventure Epic
70,70,Globetrotting Adventure
70,70,Quest
70,70,Sci-Fi Epic
70,70,Space Sci-Fi
70,70,Action
70,70,Adventure
70,70,Sci-Fi
71,71,Superhero
71,71,Supernatural Fantasy
71,71,Urban Adventure
71,71,Action
71,71,Adventure
71,71,Fantasy
71,71,Sci-Fi
72,72,Action Epic
72,72,Adventure Epic
72,72,Fantasy Epic
72,72,Sci-Fi Epic
72,72,Space Sci-Fi
72,72,Action
72,72,Adventure
72,72,Fantasy
72,72,Sci-Fi
73,73,Action Epic
73,73,Adventure Epic
73,73,Sci-Fi Epic
73,73,Space Sci-Fi
73,73,Tragedy
73,73,Action
73,73,Adventure
73,73,Sci-Fi
74,74,Action Epic
74,74,Adventure Epic
74,74,Dark Fantasy
74,74,Fantasy Epic
74,74,Sci-Fi Epic
74,74,Space Sci-Fi
74,74,Action
74,74,Adventure
74,74,Fantasy
74,74,Sci-Fi
75,75,Action Epic
75,75,Adventure Epic
75,75,Fantasy Epic
75,75,Quest
75,75,Sci-Fi Epic
75,75,Space Sci-Fi
75,75,Action
75,75,Adventure
75,75,Fantasy
75,75,Sci-Fi
76,76,Action Epic
76,76,Adventure Epic
76,76,Epic
76,76,Fantasy Epic
76,76,Quest
76,76,Sci-Fi Epic
76,76,Space Sci-Fi
76,76,Sword & Sorcery
76,76,Action
76,76,Adventure
77,77,Computer Animation
77,77,Road Trip
77,77,Supernatural Fantasy
77,77,Urban Adventure
77,77,Adventure
77,77,Animation
77,77,Comedy
77,77,Family
77,77,Fantasy
78,78,Superhero
78,78,Supernatural Fantasy
78,78,Teen Comedy
78,78,Urban Adventure
78,78,Action
78,78,Adventure
78,78,Comedy
78,78,Fantasy
78,78,Sci-Fi
79,79,Action Epic
79,79,Adventure Epic
79,79,Dark Fantasy
79,79,Epic
79,79,Fantasy Epic
79,79,Sci-Fi Epic
79,79,Space Sci-Fi
79,79,Tragedy
79,79,Action
79,79,Adventure
80,80,Dinosaur Adventure
80,80,Disaster
80,80,Kaiju
80,80,Urban Adventure
80,80,Action
80,80,Adventure
80,80,Sci-Fi
80,80,Thriller
81,81,Action Epic
