,movie_id,production_company
121,121,Pixar Animation Studios
122,122,Walt Disney Pictures
122,122,Fairview Entertainment
122,122,Walt Disney Studios
124,124,Pixar Animation Studios
124,124,Walt Disney Pictures
125,125,Walt Disney Animation Studios
125,125,Walt Disney Pictures
126,126,Walt Disney Animation Canada
126,126,Walt Disney Animation Studios
126,126,Walt Disney Pictures
129,129,Walt Disney Pictures
129,129,Jerry Bruckheimer Films
129,129,Second Mate Productions
130,130,Touchstone Pictures
130,130,Blinding Edge Pictures
130,130,The Kennedy/Marshall Company
131,131,None
132,132,Touchstone Pictures
132,132,Jerry Bruckheimer Films
134,134,None
135,135,Columbia Pictures
135,135,Beacon Communications
135,135,Beacon Pictures
136,136,DreamWorks
136,136,Dreamworks Pictures
136,136,Reliance Film & Entertainment
137,137,None
138,138,None
139,139,None
140,140,Charles Chaplin Productions
141,141,Charles Chaplin Productions
142,142,Charles Chaplin Productions
143,143,Charles Chaplin Productions
144,144,Charles Chaplin Productions
145,145,Charles Chaplin Productions
146,146,Charles Chaplin Productions
147,147,Charles Chaplin Productions
148,148,Charles Chaplin Productions
149,149,Charles Chaplin Productions
151,151,Haxan Films
152,152,Warner Bros.
152,152,The Bedford Falls Company
152,152,Cruise/Wagner Productions
153,153,Lionsgate
153,153,Millennium Films
153,153,Nu Image Entertainment GmbH
154,154,Forward Pass
154,154,Appian Way
154,154,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
155,155,Warner Bros.
155,155,Lakeshore Entertainment
155,155,Malpaso Productions
156,156,Alcon Entertainment
156,156,Silver Pictures
157,157,Lionsgate
157,157,Millennium Films
157,157,Nu Image Entertainment GmbH
158,158,Miramax
158,158,Paramount Pictures
158,158,Mirage Enterprises
159,159,Fox 2000 Pictures
159,159,Regency Enterprises
159,159,New Regency Productions
160,160,None
161,161,None
162,162,Alfred J. Hitchcock Productions
163,163,None
164,164,None
165,165,None
166,166,None
167,167,Alfred J. Hitchcock Productions
168,168,None
169,169,Alfred J. Hitchcock Productions
174,174,Walt Disney Pictures
174,174,Pixar Animation Studios
175,175,Walt Disney Pictures
175,175,Pixar Animation Studios
177,177,Pixar Animation Studios
177,177,Walt Disney Pictures
178,178,Walt Disney Pictures
178,178,Pixar Animation Studios
179,179,Walt Disney Pictures
179,179,Pixar Animation Studios
180,180,Marvel Studios
182,182,Marvel Studios
183,183,Marvel Studios
183,183,Jason Roberts Productions
183,183,South Pictures
184,184,Marvel Studios
184,184,20th Century Studios
184,184,Maximum Effort
187,187,Marvel Studios
188,188,Marvel Studios
188,188,Animal Logic
189,189,Marvel Studios
